 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;   plx    ;  Mag V  
7932;HD 134468                          ;s*r;15 13 01.0209623064 -61 44 37.596772464;0.989     ;6.269    
7933;HD 131491                          ;** ;14 56 38.3389085 -62 21 51.900928      ;1.78      ;6.391    
7934;* tet Cir                          ;Be*;14 56 43.9850523987 -62 46 51.675365388;4.1973    ;5.11     
7935;HD 133792                          ;*  ;15 09 25.5217838448 -63 38 34.549433448;5.5197    ;6.247    
7936;* eps Cir                          ;*  ;15 17 38.8930691376 -63 36 37.683132408;7.5809    ;4.849    
7937;V* LX TrA                          ;LP*;15 27 33.0785673096 -64 31 53.399458920;4.9348    ;5.706    
7938;HD 139471                          ;*  ;15 42 01.7678674272 -64 10 49.030016592;1.194     ;6.47     
7939;CD-65 2007                         ;** ;15 47 53.05292 -65 26 32.2086          ;8.93      ;5.53     
7940;CD-65 2007A                        ;PM*;15 47 53.0562813120 -65 26 32.308289556;9.3045    ;6.12     
7941;CD-65 2007B                        ;*  ;15 47 53.2141709520 -65 26 33.710651052;8.5473    ;6.40     
7942;HD 145689                          ;PM*;16 17 05.4106267752 -67 56 28.623022404;18.1859   ;5.944    
7943;V* LP TrA                          ;a2*;16 46 39.9916001976 -67 06 34.885332000;4.9629    ;5.100    
7944;HD 150026                          ;*  ;16 43 22.1471955168 -67 25 56.591764860;10.4297   ;6.015    
7945;HD 151404                          ;PM*;16 52 17.7029332152 -67 40 53.893339860;6.4021    ;6.317    
7946;* eta01 TrA                        ;Be*;16 41 23.1077528040 -68 17 46.038961032;4.3534    ;5.884    
7947;V* MX TrA                          ;a2*;16 59 33.9601430494 -69 16 05.373376901;5.2209    ;5.89     
7948;* alf TrA                          ;*  ;16 48 39.89508 -69 01 39.7626          ;8.35      ;1.88     
7949;HD 154903                          ;HB*;17 13 17.8780021368 -67 11 47.724085212;10.4684   ;5.873    
7950;* zet Aps                          ;*  ;17 21 59.4776962248 -67 46 14.408357340;11.1175   ;4.78     
7951;HD 159558                          ;*  ;17 40 44.5031450832 -67 51 15.027200640;7.2469    ;6.48     
7952;HD 166841                          ;*  ;18 18 00.9612926184 -68 13 45.347971800;3.8988    ;6.328    
7953;HD 175986                          ;** ;19 03 29.6331376968 -68 45 20.091805452;19.2022   ;5.861    
7954;* kap Pav                          ;WV*;18 56 57.0289935240 -67 14 00.581211276;5.2451    ;4.40     
7955;HD 177389                          ;PM*;19 09 52.8681101376 -68 25 28.018058124;27.1258   ;5.305    
7956;HD 181019                          ;*  ;19 24 05.4773651376 -68 22 15.912546924;4.3845    ;6.336    
7957;HD 182709                          ;*  ;19 31 10.9707380784 -68 26 02.112868752;2.8415    ;5.961    
7958;HD 184996                          ;PM*;19 41 37.2651271392 -65 51 15.890900436;4.4271    ;6.074    
7959;HD 184586                          ;PM*;19 39 52.1819287368 -66 41 07.823523588;10.5611   ;6.370    
7960;HD 186584                          ;*  ;19 49 53.4184882896 -66 48 47.044000188;3.3423    ;6.422    
7961;V* NZ Pav                          ;dS*;19 51 01.2364970424 -65 36 18.317829852;16.8138   ;6.022    
7962;HD 190222                          ;*  ;20 08 20.4734748456 -66 21 16.894294488;3.1702    ;6.46     
7963;* mu.01 Pav                        ;PM*;20 00 23.0934716064 -66 56 57.916318524;13.5835   ;5.76     
7964;* mu.02 Pav                        ;PM*;20 01 52.4617617696 -66 56 38.271651288;13.6039   ;5.331    
7965;* del Pav                          ;PM*;20 08 43.6088716052 -66 10 55.442769229;163.9544  ;3.56     
7966;CD-62 1338A                        ;PM*;20 51 38.5075523160 -62 25 45.585188364;13.599    ;6.21     
7967;CD-62 1338                         ;** ;20 51 38.50881 -62 25 45.5812          ;13.10     ;5.65     
7968;HD 195772                          ;PM*;20 36 38.3581152432 -63 07 15.484469088;16.8597   ;6.34     
7969;HD 196317                          ;PM*;20 39 51.7584380448 -62 54 28.139492340;6.4142    ;6.225    
7970;HD 206429                          ;PM*;21 43 59.0307688488 -57 19 30.891399708;22.5426   ;6.482    
7971;HD 205935                          ;*  ;21 40 33.7111065168 -55 44 16.722630600;4.9316    ;6.328    
7972;* pi.02 Gru                        ;PM*;22 23 07.9870226784 -45 55 42.558056400;25.2139   ;5.62     
7973;* del01 Gru                        ;*  ;22 29 16.1739539632 -43 29 44.021743519;9.9981    ;3.97     
7974;* del02 Gru                        ;LP?;22 29 45.4331493366 -43 44 57.187958530;9.1556    ;4.11     
7975;HD 118338                          ;RG*;13 37 06.0110392032 -44 08 35.529305568;8.6567    ;5.957    
7976;HD 120640                          ;Pu*;13 51 47.2155271416 -46 53 55.199706720;3.0685    ;5.752    
7977;HD 121416                          ;PM*;13 56 19.7763079968 -46 35 34.616994576;10.7865   ;5.815    
7978;HD 120991                          ;Be*;13 53 57.2397645360 -47 07 41.390612184;1.4567    ;6.10     
7979;* zet Cen                          ;SB*;13 55 32.38565 -47 17 18.1482          ;8.54      ;2.55     
7980;HD 123247                          ;*  ;14 07 40.8080262960 -48 42 14.498997408;10.2456   ;6.418    
7981;NGC 5460                           ;OpC;14 07 23.3 -48 17 06                   ;1.340     ;5.6      
7982;V* V869 Cen                        ;SB*;14 09 35.0324964096 -51 30 16.832689380;5.8361    ;5.961    
7983;HD 125869                          ;PM*;14 23 48.5805188400 -53 10 34.479400944;9.2755    ;5.993    
7984;HD 127486                          ;PM*;14 33 32.3675414880 -54 59 55.039118856;13.0793   ;5.87     
7985;V* BU Cir                          ;bC*;14 45 10.9595976864 -55 36 05.906309508;2.4187    ;6.089    
7986;HD 128713                          ;*  ;14 40 32.7592620048 -56 26 26.751731028;4.3169    ;6.296    
7987;HD 130227                          ;PM*;14 49 07.0558283736 -56 40 04.185739416;11.6845   ;6.21     
7988;* bet Cir                          ;PM*;15 17 30.8494520580 -58 48 04.345266926;33.8205   ;4.057    
7989;HD 135160                          ;Be*;15 16 36.6897460558 -60 54 14.399984907;1.2190    ;5.81     
7990;HD 135591                          ;*  ;15 18 49.1432685384 -60 29 46.795963020;1.2091    ;5.46     
7991;* del Cir                          ;SB*;15 16 56.8959099600 -60 57 26.120078136;1.4345    ;5.09     
7992;HD 136359                          ;PM*;15 23 10.5035736792 -60 39 25.812143568;24.0785   ;5.651    
7993;HD 141585                          ;V* ;15 53 22.9419628104 -62 36 23.650044336;5.6891    ;6.196    
7994;HD 143238                          ;*  ;16 02 52.4920243416 -62 32 29.725981512;9.3416    ;6.246    
7995;* bet TrA                          ;PM*;15 55 08.5620636 -63 25 50.615531      ;80.4854   ;2.85     
7996;V* S TrA                           ;cC*;16 01 10.7162158776 -63 46 35.530774896;1.1014    ;6.41     
7997;HD 144481                          ;SB*;16 09 59.1775500240 -62 58 01.749939888;8.6144    ;6.488    
7998;HD 147349                          ;*  ;16 25 22.1265172608 -63 07 30.781986024;7.5380    ;6.132    
7999;* del TrA                          ;*  ;16 15 26.2707862589 -63 41 08.453417447;4.5766    ;3.839    
8000;* iot TrA                          ;SB*;16 27 57.3455455848 -64 03 28.585517400;25.0908   ;5.29     
8001;* tet TrA                          ;*  ;16 35 44.8210485504 -65 29 43.438646400;9.4515    ;5.500    
8002;HD 151441                          ;*  ;16 51 53.8822073520 -65 22 31.650225600;3.7871    ;6.114    
8003;* eta Pav                          ;PM*;17 45 43.9875971845 -64 43 25.937272871;8.8653    ;3.581    
8004;HD 161955                          ;PM*;17 53 18.1847878536 -65 29 18.974151996;6.857     ;6.459    
8005;HD 162521                          ;PM*;17 56 24.2937328684 -65 43 18.255605671;28.1550   ;6.36     
8006;HD 172021                          ;*  ;18 42 22.6237167288 -64 38 34.965073392;5.1645    ;6.353    
8007;HD 172211                          ;*  ;18 43 37.3375808736 -64 33 05.130535788;8.507     ;5.757    
8008;HD 172555                          ;PM*;18 45 26.9009806435 -64 52 16.534807985;34.7355   ;4.767    
8009;* tet Pav                          ;PM*;18 48 37.9048429296 -65 04 39.648145224;15.2311   ;5.701    
8010;HD 179419                          ;Be*;19 17 00.5211991800 -65 13 39.730476972;4.0574    ;6.39     
8011;HD 191603                          ;*  ;20 14 26.9062963200 -63 24 56.840763960;14.1437   ;6.086    
8012;HD 192531                          ;PM*;20 19 02.9993721288 -63 13 50.671820388;7.7474    ;6.279    
8013;* phi01 Pav                        ;PM*;20 35 34.8500676912 -60 34 54.296843484;35.6214   ;4.745    
8014;* rho Pav                          ;dS*;20 37 35.3124777019 -61 31 47.716104719;16.0565   ;4.849    
8015;* phi02 Pav                        ;PM*;20 40 02.6374808954 -60 32 56.018592211;40.5683   ;5.121    
8016;* bet Ind                          ;*  ;20 54 48.5980921153 -58 27 14.921144930;5.6426    ;3.65     
8017;HD 204228                          ;PM*;21 29 00.1466956632 -53 42 21.283269732;7.422     ;6.380    
8018;* gam Ind                          ;V* ;21 26 15.4391909208 -54 39 37.651593096;15.1909   ;6.082    
8019;HD 205877                          ;** ;21 39 59.7177377376 -52 21 32.401184724;5.7726    ;6.202    
8020;HD 210204                          ;PM*;22 09 57.8803529688 -48 06 27.579495024;4.5852    ;6.424    
8021;* alf Gru                          ;PM*;22 08 13.98473 -46 57 39.5078          ;32.29     ;1.71     
8022;HD 211053                          ;*  ;22 15 35.0371923672 -44 27 05.392682460;4.4029    ;6.089    
8023;* nu. Cen                          ;bC*;13 49 30.2765077433 -41 41 15.750707249;8.0476    ;3.386    
8024;* mu. Cen                          ;Be*;13 49 36.9886872492 -42 28 25.440271450;7.3269    ;3.43     
8025;* ups01 Cen                        ;Pu*;13 58 40.7486851 -44 48 12.908967      ;7.63      ;3.87     
8026;* ups02 Cen                        ;SB*;14 01 43.5069676512 -45 36 12.274581744;4.9056    ;4.33     
8027;HD 126983                          ;SB*;14 30 20.9429507016 -49 31 08.533544160;16.4565   ;5.376    
8028;HD 125810                          ;*  ;14 23 20.2530537988 -50 46 20.103275400;3.3147    ;6.09     
8029;HD 129624                          ;*  ;14 45 18.8269487664 -51 18 53.746612488;3.2578    ;6.43     
8030;* sig Lup                          ;El*;14 32 37.0550628352 -50 27 25.733667127;5.0316    ;4.423    
8031;HD 127501                          ;*  ;14 33 29.9684943168 -52 40 46.267015620;8.9917    ;5.87     
8032;HD 129932                          ;*  ;14 47 12.5860065072 -52 12 18.921394332;1.4460    ;6.070    
8033;* b Lup                            ;PM*;14 47 01.2936609336 -52 23 00.662148132;12.442    ;5.22     
8034;* c Lup                            ;SB*;14 56 17.2510924608 -52 48 34.384121424;15.6853   ;5.386    
8035;HD 128154                          ;*  ;14 37 12.4176321384 -53 03 38.819955744;4.6627    ;6.49     
8036;HD 134270                          ;*  ;15 11 15.9833323248 -55 20 45.707911872;1.4446    ;5.43     
8037;HD 139211                          ;PM*;15 39 56.5437010824 -59 54 30.007118052;32.7558   ;5.95     
8038;HD 139915                          ;*  ;15 43 55.2766366032 -60 17 13.986243924;1.4089    ;6.475    
8039;HD 143548                          ;*  ;16 04 06.1986074856 -59 10 34.272321672;1.81      ;6.38     
8040;HD 142139                          ;PM*;15 56 05.9113323384 -60 28 56.944656660;14.3711   ;5.76     
8041;HD 148291                          ;*  ;16 30 49.3595489040 -61 38 00.620711808;3.8484    ;5.182    
8042;HD 149485                          ;*  ;16 38 52.6952716560 -60 59 25.422509688;5.4775    ;6.150    
8043;HD 149837                          ;PM*;16 40 50.4832723248 -60 26 47.207115060;31.3707   ;6.24     
8044;HD 150097                          ;V* ;16 42 48.4194833088 -62 33 14.146478532;1.7795    ;6.19     
8045;HD 152082                          ;*  ;16 55 24.6888182136 -63 16 10.777698012;5.7727    ;5.996    
8046;HD 154555                          ;*  ;17 10 06.2757068184 -61 40 31.643050872;1.9983    ;6.366    
8047;HD 155951                          ;PM*;17 18 51.7072275000 -62 52 28.478498664;5.6538    ;6.49     
8048;HD 156838                          ;*  ;17 24 01.0755355008 -62 51 50.954343768;2.0756    ;5.676    
8049;HD 157524                          ;*  ;17 28 07.8650225448 -63 02 10.464049932;4.2874    ;6.208    
8050;* iot Pav                          ;PM*;18 10 26.1537006792 -62 00 07.992182016;56.1961   ;5.49     
8051;* pi. Pav                          ;PM*;18 08 34.8159785896 -63 40 06.823127591;24.3617   ;4.328    
8052;HD 166251                          ;PM*;18 14 16.3220326872 -63 41 22.855377300;6.2324    ;6.469    
8053;HD 166599                          ;*  ;18 15 40.6145646768 -63 03 19.310091408;11.3747   ;5.582    
8054;HD 167425                          ;PM*;18 19 40.1306187936 -63 53 11.622031944;42.5918   ;6.25     
8055;HD 164871                          ;PM*;18 07 48.3649611792 -64 33 00.612159264;5.5786    ;6.392    
8056;V* V346 Pav                        ;dS*;18 25 31.6299933048 -63 01 17.529458664;14.0560   ;6.122    
8057;* nu. Pav                          ;SB*;18 31 22.4255283661 -62 16 41.889747810;7.3688    ;4.64     
8058;HD 174877                          ;*  ;18 56 54.7044249528 -62 48 06.854153508;2.6849    ;6.453    
8059;* lam Pav                          ;Be*;18 52 13.0338312065 -62 11 15.327318320;2.9726    ;4.207    
8060;HD 186837                          ;*  ;19 50 21.7568928744 -61 03 40.025569176;3.8093    ;6.206    
8061;HD 188162                          ;*  ;19 57 06.3091891368 -58 54 04.866145452;11.0714   ;5.241    
8062;HD 187653                          ;*  ;19 54 40.4406176424 -61 10 14.849196456;9.4179    ;6.205    
8063;V* NU Pav                          ;LP*;20 01 44.7445781273 -59 22 33.226695613;5.9102    ;5.13     
8064;* alf Pav                          ;SB*;20 25 38.85705 -56 44 06.3230          ;18.24     ;1.918    
8065;HD 199642                          ;*  ;21 00 43.4224961664 -53 44 20.648477688;3.757     ;6.26     
8066;* mu. Ind                          ;*  ;21 05 14.2487321712 -54 43 37.349602788;7.7236    ;5.163    
8067;HD 202103                          ;** ;21 15 45.8630571456 -53 15 47.119650948;7.6878    ;5.719    
8068;HD 206690                          ;PM*;21 45 18.7359293064 -49 29 55.535081892;7.8589    ;6.462    
8069;HD 207129                          ;PM*;21 48 15.7511634187 -47 18 13.017893348;64.2717   ;5.58     
8070;V* V828 Cen                        ;a2*;14 03 27.4674533712 -41 25 24.032196948;6.5368    ;6.088    
8071;* chi Cen                          ;bC*;14 06 02.7680367867 -41 10 46.678474802;6.4882    ;4.343    
8072;* phi Cen                          ;Pu*;13 58 16.2661773764 -42 06 02.724906325;7.1002    ;3.802    
8073;HD 123004                          ;*  ;14 06 10.9053221136 -43 05 30.121655676;7.7976    ;6.176    
8074;HD 123445                          ;*  ;14 08 51.8860395336 -43 28 14.799908604;6.2446    ;6.17     
8075;HD 124580                          ;PM*;14 15 38.6850588480 -45 00 02.720144880;47.8421   ;6.305    
8076;HD 125442                          ;PM*;14 20 42.5816811192 -45 11 13.407629784;21.4601   ;4.77     
8077;* tau02 Lup                        ;** ;14 26 10.81378 -45 22 45.4023          ;10.22     ;4.35     
8078;* iot Lup                          ;V* ;14 19 24.2211609376 -46 03 29.139332461;9.3286    ;3.529    
8079;HD 126504                          ;PM*;14 27 12.1541517840 -46 08 03.097545864;20.6065   ;5.811    
